Loan_ID,Customer_ID,Branch_ID,Loan_Amount,Loan_Term,Interest_Rate,Loan_Type,Application_Date,Approval_Status,Default_Status
1,9908,64,2002606.45,36,8.73,Auto,2023-02-16,Pending,Not Applicable
2,4335,94,2699047.68,36,14.49,Education,2023-07-12,Rejected,Not Applicable
3,8605,37,4500000,84,7.5,Home,2025-01-24,Approved,No Default
4,4877,54,2521900.43,12,14.23,Personal,2023-06-12,Rejected,Not Applicable
5,6099,36,2272920.02,36,12.58,Personal,2023-04-04,Rejected,Not Applicable
6,7862,62,4500000,12,8.34,Home,2024-07-05,Rejected,Not Applicable
7,6828,72,1010316.81,12,14.82,Personal,2025-03-28,Rejected,Not Applicable
8,3067,78,2970663.5,36,14.9,Personal,2024-08-09,Rejected,Not Applicable
9,4091,44,4500000,24,9.18,Home,2024-02-08,Rejected,Not Applicable
10,8757,29,1588791.86,12,12.35,Personal,2024-07-09,Rejected,Not Applicable
11,1561,69,2080909.69,48,17.39,Business,2022-01-31,Rejected,Not Applicable
12,3876,92,1130487.74,12,14.7,Business,2022-12-12,Rejected,Not Applicable
13,9989,50,1287178.48,120,13.26,Education,2024-09-28,Approved,No Default
14,12,45,595695.21,84,14.31,Personal,2024-04-16,Rejected,Not Applicable
15,9439,86,2285446.69,60,11.86,Home,2023-09-19,Rejected,Not Applicable
16,9653,36,1580858.87,36,9.72,Home,2024-01-13,Rejected,Not Applicable
17,7221,80,2912341.83,84,13.45,Business,2024-04-22,Rejected,Not Applicable
18,3170,33,3958922.26,60,11.02,Education,2024-06-04,Rejected,Not Applicable
19,957,20,1302217.59,60,10.93,Home,2022-02-28,Rejected,Not Applicable
20,8213,90,3784924.2,48,14.04,Personal,2024-07-25,Approved,No Default
21,2386,35,3155712.61,60,13.51,Education,2025-02-05,Rejected,Not Applicable
22,6334,30,2900039.84,120,7.5,Home,2022-12-01,Pending,Not Applicable
23,2013,96,2625760.99,12,14.11,Personal,2022-05-01,Pending,Not Applicable
24,7852,44,1862058.17,12,12.35,Personal,2024-11-10,Rejected,Not Applicable
25,3300,85,670438.11,12,10.66,Home,2025-03-11,Rejected,Not Applicable
26,1490,78,4434874.38,84,10.74,Home,2022-08-17,Approved,No Default
27,3712,82,4500000,12,8.37,Home,2022-01-30,Approved,No Default
28,1816,58,2468689.9,120,11.29,Education,2024-06-07,Pending,Not Applicable
29,1182,51,4500000,84,7.5,Home,2025-03-14,Rejected,Not Applicable
30,4972,6,4066032.67,24,8.69,Home,2024-03-06,Approved,No Default
31,2099,85,458208.76,84,13.96,Personal,2023-09-10,Approved,No Default
32,4299,3,1086413.15,24,13.46,Gold,2022-08-03,Approved,No Default
33,5407,60,4022286.9,36,9.54,Home,2023-11-12,Approved,No Default
34,5131,12,1253998.57,48,16.25,Personal,2023-05-29,Rejected,Not Applicable
35,4751,49,1324439.03,120,15.18,Personal,2023-07-23,Approved,Default
36,5228,11,634545.63,36,14.49,Business,2024-08-15,Rejected,Not Applicable
37,5517,11,4500000,24,7.73,Home,2023-06-04,Rejected,Not Applicable
38,8749,51,4500000,84,11.2,Auto,2023-08-26,Pending,Not Applicable
39,5369,42,567990.75,36,11.68,Gold,2022-06-13,Approved,No Default
40,8132,14,4406194.23,12,8.47,Home,2025-01-30,Rejected,Not Applicable
41,8772,81,4500000,48,7.5,Home,2023-04-03,Approved,No Default
42,6959,46,3407033.63,12,11.32,Personal,2022-05-14,Rejected,Not Applicable
43,8600,59,4054397.08,120,15.92,Business,2023-11-03,Rejected,Not Applicable
44,7610,50,1517817.45,60,11.21,Personal,2022-12-14,Approved,No Default
45,9674,70,161322.88,12,14.57,Gold,2024-01-30,Approved,No Default
46,7855,85,1799198.46,24,14.66,Personal,2022-03-28,Rejected,Not Applicable
47,8293,2,3908640.19,36,11.35,Home,2023-06-21,Rejected,Not Applicable
48,2870,64,1610709.63,24,12.91,Auto,2024-08-14,Approved,Default
49,881,36,1561426.18,36,10.81,Home,2024-06-05,Rejected,Not Applicable
50,8905,81,4500000,36,7.5,Home,2024-01-10,Rejected,Not Applicable
51,9000,37,2910364.87,84,14.01,Business,2024-06-21,Approved,No Default
52,5551,64,4296847.68,60,10.72,Auto,2023-09-09,Rejected,Not Applicable
53,7728,26,492620.77,24,15.86,Personal,2023-06-08,Rejected,Not Applicable
54,5927,29,1457733.23,12,9.58,Gold,2023-05-05,Rejected,Not Applicable
55,3264,16,3428936.23,36,10.94,Personal,2024-09-08,Rejected,Not Applicable
56,1080,39,1548495.97,60,9.52,Education,2024-07-10,Rejected,Not Applicable
57,3450,53,3583961.72,60,13.82,Personal,2024-01-07,Approved,No Default
58,3960,84,2579643.27,60,15.71,Personal,2024-07-07,Rejected,Not Applicable
59,4112,36,4500000,36,7.74,Home,2023-08-05,Approved,No Default
60,415,48,904489.66,24,9.79,Auto,2022-12-10,Approved,No Default
61,5458,4,1954135.58,48,13.08,Personal,2022-11-29,Approved,No Default
62,8556,21,3680777.89,12,10.16,Auto,2025-03-04,Rejected,Not Applicable
63,8288,86,2738125.04,120,14.24,Personal,2022-04-24,Rejected,Not Applicable
64,2922,53,2086615.8,84,14.38,Personal,2022-12-08,Rejected,Not Applicable
65,1066,6,4500000,36,11.12,Home,2022-05-14,Approved,Default
66,4516,78,4500000,24,14.67,Business,2022-12-17,Rejected,Not Applicable
67,6006,39,1485753.89,60,12.11,Personal,2022-08-25,Rejected,Not Applicable
68,173,73,1323312.15,48,10.44,Education,2022-02-17,Rejected,Not Applicable
69,384,56,988905.06,84,13.76,Personal,2024-01-22,Rejected,Not Applicable
70,170,23,4500000,48,8.68,Home,2025-03-19,Rejected,Not Applicable
71,6666,47,4500000,48,8.43,Home,2024-07-25,Approved,Default
72,7688,4,1871530.39,24,13.22,Gold,2022-04-30,Rejected,Not Applicable
73,2191,22,4500000,48,13.51,Business,2023-04-12,Rejected,Not Applicable
74,75,31,4500000,60,11.04,Home,2022-10-06,Rejected,Not Applicable
75,7036,12,647126.37,24,13.79,Personal,2024-05-27,Approved,No Default
76,1891,96,1170459.06,36,9.82,Gold,2023-06-17,Rejected,Not Applicable
77,7874,50,4500000,24,7.68,Home,2022-05-16,Rejected,Not Applicable
78,3161,25,2711801.7,36,8.05,Auto,2023-02-09,Approved,No Default
79,3463,78,780501.03,36,10.98,Gold,2025-01-06,Approved,No Default
80,4468,79,4500000,24,7.9,Home,2022-11-03,Rejected,Not Applicable
81,6692,22,2275595.63,60,12.67,Education,2025-03-06,Rejected,Not Applicable
82,5461,62,4500000,24,7.5,Home,2024-05-06,Rejected,Not Applicable
83,1873,29,1036236.4,48,10.12,Home,2024-10-22,Rejected,Not Applicable
84,2044,11,1517360.38,60,12.26,Auto,2022-02-18,Pending,Not Applicable
85,5460,75,3032573.72,36,13.47,Business,2022-08-13,Approved,No Default
86,4299,92,4500000,36,9.98,Auto,2022-12-16,Pending,Not Applicable
87,590,98,4500000,60,15.21,Business,2022-07-01,Approved,No Default
88,561,50,1318096.69,24,12.64,Personal,2023-11-19,Approved,No Default
89,6997,24,2690764.39,84,12.09,Personal,2023-09-09,Rejected,Not Applicable
90,8681,47,2779872.26,60,15.08,Business,2022-03-12,Rejected,Not Applicable
91,4529,66,2143338.39,36,13.66,Business,2022-08-20,Approved,No Default
92,1159,97,581955.04,48,13.0,Personal,2022-04-11,Rejected,Not Applicable
93,5536,64,2510483.05,60,13.41,Business,2023-06-03,Approved,No Default
94,1609,77,4500000,120,16.91,Business,2022-05-12,Rejected,Not Applicable
95,4526,43,1355657.13,36,13.4,Gold,2024-07-28,Rejected,Not Applicable
96,1,42,585453.57,48,13.87,Business,2023-10-02,Rejected,Not Applicable
97,9484,21,2864211.85,84,12.05,Auto,2024-10-11,Rejected,Not Applicable
98,7994,32,4500000,84,10.61,Home,2023-04-14,Rejected,Not Applicable
99,4768,66,743698.98,36,14.11,Gold,2025-01-08,Approved,No Default
100,3051,3,3057381.9,60,15.14,Business,2023-08-28,Approved,No Default
101,4075,41,4500000,12,7.5,Home,2024-04-09,Approved,No Default
102,7974,58,879701.73,48,13.2,Gold,2023-03-08,Rejected,Not Applicable
103,438,53,1333430.3,120,10.81,Personal,2023-12-28,Rejected,Not Applicable
104,8647,65,266971.88,24,12.75,Personal,2024-06-19,Approved,Default
105,4694,27,4372266.75,24,8.01,Home,2022-10-29,Rejected,Not Applicable
106,5803,38,4500000,60,11.15,Home,2022-10-15,Rejected,Not Applicable
107,9797,35,4500000,12,10.49,Home,2024-02-16,Rejected,Not Applicable
108,7238,96,1141928.23,60,15.94,Personal,2024-11-10,Rejected,Not Applicable
109,7070,11,4500000,48,11.1,Auto,2023-10-05,Approved,No Default
110,7971,71,4500000,24,7.5,Home,2022-06-11,Rejected,Not Applicable
111,5900,47,2095116.56,48,14.59,Business,2023-07-23,Rejected,Not Applicable
112,2650,91,4500000,60,9.79,Home,2022-02-14,Rejected,Not Applicable
113,4777,90,1152145.48,48,12.12,Personal,2022-09-15,Approved,No Default
114,5464,68,1240026.05,24,12.19,Business,2023-07-07,Approved,No Default
115,3405,2,591552.14,12,15.0,Personal,2022-03-17,Pending,Not Applicable
116,7685,8,4500000,120,12.66,Business,2022-03-27,Rejected,Not Applicable
117,1901,72,1041331.86,60,9.88,Auto,2024-02-07,Rejected,Not Applicable
118,5666,53,1693514.16,48,13.27,Education,2022-07-20,Rejected,Not Applicable
119,1993,46,1649261.01,48,10.09,Auto,2023-08-26,Rejected,Not Applicable
120,4057,45,2379126.44,84,13.05,Personal,2022-02-28,Rejected,Not Applicable
121,1144,18,1959664.96,60,10.69,Home,2024-11-17,Rejected,Not Applicable
122,7536,96,2301373.17,84,12.74,Business,2024-08-02,Rejected,Not Applicable
123,2832,79,2903541.71,12,11.02,Personal,2022-05-09,Approved,Default
124,2861,36,4500000,84,8.63,Home,2024-05-05,Rejected,Not Applicable
125,367,34,778428.64,120,8.2,Auto,2024-08-04,Approved,No Default
126,6889,86,2917126.3,48,14.8,Business,2023-07-22,Rejected,Not Applicable
127,9046,3,1182407.97,120,10.69,Auto,2022-06-03,Rejected,Not Applicable
128,4989,43,4500000,120,8.94,Home,2022-12-10,Pending,Not Applicable
129,2488,99,3075829.36,120,7.81,Home,2024-11-17,Rejected,Not Applicable
130,9887,28,1668914.44,48,12.17,Education,2025-03-10,Rejected,Not Applicable
131,4357,41,1512704.2,48,13.39,Gold,2023-05-23,Rejected,Not Applicable
132,8287,44,4500000,12,7.66,Home,2024-04-22,Rejected,Not Applicable
133,3869,60,4500000,24,9.78,Home,2022-11-06,Rejected,Not Applicable
134,6019,49,4500000,36,10.71,Home,2024-09-02,Rejected,Not Applicable
135,7448,42,2951179.06,60,12.52,Personal,2023-05-14,Approved,No Default
136,750,24,4500000,36,8.02,Home,2022-11-10,Pending,Not Applicable
137,1519,51,1459381.26,36,15.65,Personal,2024-11-19,Rejected,Not Applicable
138,6862,63,1140823.81,36,10.02,Gold,2024-09-18,Approved,No Default
139,4991,51,1436618.65,48,12.77,Business,2023-07-10,Rejected,Not Applicable
140,2524,56,847574.83,36,10.46,Home,2023-05-31,Rejected,Not Applicable
141,1656,68,2568862.8,36,14.57,Personal,2023-08-12,Rejected,Not Applicable
142,873,66,710209.1,36,15.39,Personal,2025-03-18,Approved,No Default
143,6983,82,1436070.17,36,11.69,Auto,2023-03-29,Approved,No Default
