Payment_ID,Loan_ID,Payment_Date,Payment_Amount,Payment_Status
1,934,2022-10-01,235241.265,Paid
2,9698,2024-02-01,107286.52,Partial
3,1167,2025-09-07,9958.23,Paid
4,11347,2022-10-11,78011.25,Paid
5,5293,2023-12-28,131105.18,Paid
6,2148,2023-07-29,6805.99,Paid
7,1342,2024-08-26,213621.33,Paid
8,6265,2025-03-08,98168.05,Late
9,12087,2026-02-20,0.0,Missed
10,1952,2024-04-27,77443.35,Paid
11,2853,2022-10-28,107220.84,Paid
12,9227,2026-06-22,64699.29,Late
13,4604,2024-03-13,120772.82,Paid
14,935,2025-05-20,235241.265,Paid
15,13851,2024-04-16,106387.31,Paid
16,6077,2025-02-17,121358.69,Late
17,10207,2026-02-26,56525.67,Paid
18,4663,2024-05-31,122522.98,Late
19,7712,2025-01-28,36838.98,Paid
20,11259,2024-09-07,0.0,Missed
21,12761,2023-04-12,38412.25,Paid
22,10066,2023-10-27,117008.12,Late
23,7898,2022-11-05,112813.65,Late
24,9497,2022-10-13,235241.265,Paid
25,11795,2025-02-27,81999.26,Paid
26,6802,2024-08-15,122867.44,Paid
27,6679,2024-10-07,29947.21,Paid
28,574,2025-04-18,154920.37,Paid
29,8275,2023-01-25,17131.57,Late
30,12499,2023-06-26,45243.9,Paid
31,7388,2027-03-08,42289.96,Partial
32,2864,2023-10-30,114971.86,Late
33,13916,2026-10-22,219557.37,Paid
34,1560,2023-08-13,98788.59,Paid
35,1235,2025-02-03,198789.81,Paid
36,12949,2024-01-01,112386.84,Partial
37,11033,2024-12-22,47570.51,Paid
38,14844,2024-12-24,235241.265,Late
39,13513,2026-12-12,21328.7,Late
40,8353,2026-06-03,60348.0,Late
41,4726,2025-05-26,49586.95,Partial
42,8115,2023-09-05,49111.5,Partial
43,7719,2024-03-24,87283.05,Paid
44,11680,2025-01-17,52526.63,Paid
45,13972,2023-11-20,235241.265,Paid
46,8222,2023-06-24,187902.63,Late
47,11410,2022-09-27,10943.39,Paid
48,13775,2025-03-14,7680.57,Paid
49,4169,2023-10-22,29036.69,Paid
50,5080,2024-11-18,39648.32,Paid
51,7281,2024-03-27,0.0,Missed
52,8146,2024-12-05,127670.78,Late
53,11946,2024-02-08,57024.44,Paid
54,710,2022-09-26,37307.29,Paid
55,13137,2024-01-24,120841.18,Paid
56,7588,2024-03-28,112950.23,Late
57,6118,2023-11-11,60146.04,Paid
58,6057,2024-03-12,64755.75,Paid
59,3047,2026-01-17,8327.02,Partial
60,2157,2024-09-14,60880.79,Paid
61,617,2026-08-22,33266.5,Paid
62,4033,2025-09-16,235241.265,Paid
63,1987,2025-01-13,36489.95,Partial
64,7686,2026-08-17,90738.47,Paid
65,5959,2022-05-31,83686.07,Paid
66,4928,2025-09-25,30039.29,Paid
67,872,2024-01-30,28500.16,Paid
68,14505,2025-01-14,76330.05,Paid
69,6511,2026-01-12,15725.31,Paid
70,1418,2025-11-04,107441.93,Paid
71,14489,2025-04-30,10768.71,Paid
72,11146,2024-07-27,35069.95,Paid
73,10262,2023-08-17,65461.97,Partial
74,12478,2022-10-20,29715.19,Partial
75,3239,2025-09-04,57815.63,Paid
76,12055,2024-04-08,29589.21,Partial
77,11205,2024-08-15,0.0,Missed
78,8434,2024-05-06,161911.69,Paid
79,13768,2025-02-25,217499.24,Paid
80,1320,2024-11-26,20266.29,Paid
81,11971,2022-09-28,32657.29,Paid
82,7649,2024-06-04,70603.99,Paid
83,1091,2023-11-01,41919.94,Paid
84,6286,2024-03-20,53715.2,Paid
85,8979,2024-07-06,92162.63,Paid
86,11646,2024-01-05,59846.36,Paid
87,11868,2024-10-27,33248.48,Late
88,1506,2024-10-18,76987.3,Paid
89,6013,2024-05-28,0.0,Missed
90,1628,2022-10-26,95767.25,Paid
91,2073,2025-10-04,114400.03,Paid
92,14932,2023-07-28,76655.2,Paid
93,2156,2024-05-17,32942.34,Paid
94,8302,2026-01-31,0.0,Missed
95,5300,2025-02-16,47479.24,Late
96,4502,2026-03-04,100943.42,Late
97,11199,2022-09-08,69827.15,Late
98,1504,2023-04-22,16214.68,Paid
99,233,2025-07-23,185852.66,Partial
100,3410,2023-01-15,0.0,Missed
101,146,2024-01-09,71051.17,Paid
102,5115,2023-01-12,71972.57,Paid
103,2392,2023-11-05,14702.98,Paid
104,11065,2026-09-21,115288.52,Late
105,5614,2023-09-16,0.0,Missed
106,8741,2025-09-10,99739.84,Paid
107,10608,2024-04-22,53743.96,Partial
108,7332,2025-03-22,44481.43,Paid
109,3666,2023-10-05,82776.14,Paid
110,7008,2023-05-11,19644.97,Late
111,9173,2025-01-06,22938.06,Paid
112,14448,2024-11-16,39746.92,Paid
113,13586,2023-10-21,175466.97,Paid
114,1827,2023-06-27,25009.56,Paid
115,7928,2025-05-28,114641.9,Paid
116,8326,2024-06-01,100305.63,Paid
117,2307,2024-09-10,113345.73,Paid
118,14632,2026-02-01,26143.08,Paid
119,2100,2024-08-25,28185.29,Paid
120,13346,2022-09-02,34674.28,Paid
121,4013,2025-03-14,212162.65,Paid
122,13850,2026-02-22,54029.92,Paid
123,14302,2025-02-27,206512.5,Paid
124,14631,2024-01-22,102530.66,Paid
125,14187,2025-05-28,8022.82,Partial
126,1133,2022-07-27,7966.47,Paid
127,10272,2024-02-03,172738.77,Paid
128,3420,2026-03-09,145507.66,Paid
129,9236,2024-08-13,9519.98,Paid
130,1757,2023-11-12,87297.57,Paid
131,412,2023-10-18,235241.265,Paid
132,1617,2025-10-05,7246.72,Paid
133,7274,2024-05-06,6418.52,Paid
134,12975,2024-04-12,209703.98,Paid
135,88,2024-03-25,67251.66,Paid
136,8429,2024-06-24,144010.56,Paid
137,11858,2023-07-13,59603.49,Paid
138,12064,2023-10-23,235241.265,Paid
139,2184,2023-06-12,89341.52,Paid
140,10891,2025-11-14,113351.98,Paid
141,1133,2023-01-18,8132.11,Paid
142,203,2026-05-25,14120.6,Paid
143,11864,2024-11-10,11097.45,Paid
144,10139,2022-03-18,235241.265,Late
145,2421,2025-11-30,235241.265,Late
146,6570,2025-05-22,220376.05,Paid
147,2538,2024-09-02,21331.04,Paid
148,11245,2023-10-01,75863.87,Paid
149,14471,2024-01-08,91519.79,Paid
150,10034,2025-09-15,107568.34,Paid
151,6583,2025-08-08,72922.46,Partial
152,14723,2025-05-31,210558.68,Paid
153,5227,2023-01-12,0.0,Missed
154,10270,2023-03-17,82691.13,Late
155,5431,2025-01-08,213842.19,Paid
156,2684,2025-08-25,23546.87,Paid
157,806,2025-09-05,0.0,Missed
158,4127,2023-04-01,145782.05,Paid
159,11132,2025-04-23,212970.93,Paid
160,12617,2022-08-31,0.0,Missed
161,7553,2025-08-23,128307.93,Paid
162,12286,2024-09-12,88576.45,Paid
163,10843,2024-05-29,12231.36,Late
164,14024,2025-08-09,117913.72,Paid
165,3192,2024-11-29,127338.07,Paid
166,868,2023-10-04,22903.04,Paid
167,1126,2022-12-06,77767.92,Late
168,8311,2026-01-14,150047.14,Late
169,8124,2026-04-22,75849.58,Paid
170,827,2024-03-21,235241.265,Late
171,6199,2023-11-03,59607.62,Partial
172,3022,2025-09-21,47646.62,Paid
173,14292,2025-08-30,83876.71,Paid
174,2603,2024-09-16,92515.13,Paid
175,10028,2023-10-01,52147.0,Paid
176,11152,2025-03-09,31152.65,Paid
177,11840,2023-08-31,73123.54,Paid
178,4098,2026-10-17,21448.6,Paid
179,13590,2023-05-07,144075.62,Paid
180,8474,2023-10-03,17247.05,Paid
181,2331,2025-04-10,11910.6,Paid
182,8480,2024-01-29,78786.92,Paid
183,13802,2023-05-21,235241.265,Paid
184,12661,2022-12-10,18718.52,Paid
185,1171,2023-12-13,77927.25,Paid
186,4862,2022-10-03,49691.1,Paid
187,4679,2024-05-29,113021.83,Late
188,11334,2023-05-09,39744.31,Paid
189,14631,2024-03-25,68307.34,Partial
190,11646,2024-06-27,0.0,Missed
191,10703,2023-11-15,101060.86,Paid
192,2779,2024-12-25,20225.62,Late
193,9846,2024-03-19,28757.72,Paid
194,2181,2025-10-08,226974.27,Paid
195,9678,2025-09-22,26887.33,Paid
196,5797,2023-01-29,40467.38,Late
197,9632,2025-08-03,221104.29,Paid
198,1271,2025-04-10,12970.97,Paid
199,1702,2024-04-21,141944.29,Late
200,2483,2024-02-28,23243.72,Paid
201,8021,2024-11-18,21807.86,Paid
202,840,2024-06-03,89657.82,Paid
203,14095,2024-04-18,102948.31,Late
204,5289,2024-08-10,149887.93,Paid
205,10232,2025-06-19,25477.49,Paid
206,7713,2025-04-16,92008.96,Paid
207,12882,2026-02-08,29716.58,Paid
208,12036,2022-08-02,80944.01,Paid
209,9996,2024-01-15,67909.39,Late
210,12712,2022-10-18,8415.56,Partial
211,4751,2025-02-11,13207.52,Paid
212,14709,2026-07-15,51484.81,Paid
213,7481,2026-01-18,57355.9,Partial
214,6158,2025-03-18,69176.59,Paid
215,6412,2024-05-21,6513.04,Paid
216,12804,2024-07-22,123528.5,Late
217,5333,2024-03-08,139199.15,Paid
218,14984,2024-10-02,81534.4,Paid
219,10429,2025-05-10,81844.83,Paid
220,4228,2026-04-04,28881.13,Paid
221,5672,2025-01-17,72760.33,Paid
222,14676,2025-03-01,47625.51,Paid
223,3995,2025-02-21,26940.54,Paid
224,8825,2025-04-10,7568.95,Late
225,13803,2025-01-30,72781.05,Paid
226,14193,2025-01-02,201951.09,Paid
227,135,2023-12-15,63094.2,Late
228,2081,2026-01-13,74721.36,Paid
229,13263,2025-11-05,17012.29,Paid
230,1113,2022-08-06,43553.41,Paid
231,4668,2023-06-06,38224.71,Paid
232,8966,2024-03-12,25467.07,Paid
233,882,2024-03-09,138763.67,Paid
234,6254,2025-09-25,72354.06,Paid
235,10521,2024-09-06,70952.13,Partial
236,7998,2024-01-20,18565.64,Late
237,7047,2024-01-31,28926.04,Late
238,9304,2026-06-03,106013.4,Paid
239,4668,2022-11-09,22319.83,Partial
240,2184,2023-09-09,95973.58,Paid
241,11451,2024-07-05,116217.02,Paid
242,8174,2024-09-15,202895.4,Paid
243,12842,2025-04-12,111400.56,Paid
244,2381,2022-10-31,145420.7,Late
245,7899,2026-04-19,130779.32,Late
246,14136,2024-05-28,17246.59,Late
247,586,2023-10-09,89670.13,Partial
248,13005,2025-05-03,149232.25,Paid
249,5647,2025-02-14,235241.265,Paid
250,11827,2023-11-18,51752.04,Paid
251,7798,2025-01-28,71076.67,Paid
252,13555,2024-10-20,114319.16,Late
253,11688,2025-12-19,47989.96,Late
254,9204,2024-04-09,56554.71,Paid
255,9861,2024-01-05,235241.265,Late
256,13052,2023-12-11,85963.61,Paid
257,7996,2024-07-02,35305.39,Paid
258,8174,2023-11-28,192636.41,Paid
259,5998,2022-11-03,77099.78,Paid
260,870,2025-01-14,49079.7,Paid
261,8555,2025-01-03,71393.8,Paid
262,1092,2026-07-06,0.0,Missed
263,3197,2026-05-04,27740.92,Paid
264,8484,2022-12-19,97610.04,Paid
265,8021,2024-03-24,21523.23,Paid
266,421,2024-09-18,24526.76,Paid
267,13364,2025-02-28,133890.66,Paid
268,14192,2026-02-17,81250.27,Paid
269,11658,2026-01-26,56931.09,Paid
270,12519,2023-12-05,59564.87,Partial
271,1231,2024-10-17,144719.11,Paid
272,1742,2025-08-12,142399.76,Paid
273,11965,2026-06-21,99193.85,Paid
274,1572,2024-01-04,113638.74,Paid
275,9864,2023-09-21,89997.88,Late
276,12950,2025-10-23,40681.6,Paid
277,4296,2023-09-10,26945.2,Paid
278,4340,2024-04-21,21027.19,Paid
279,14374,2025-03-01,216295.98,Paid
280,14611,2023-12-10,85876.23,Paid
281,4088,2022-09-17,235241.265,Paid
282,1080,2025-08-29,8890.09,Partial
283,4974,2025-01-23,6851.38,Paid
284,1453,2024-07-15,54991.08,Paid
285,7485,2022-08-07,8786.49,Paid
286,9263,2024-01-18,17977.66,Late
287,12907,2022-10-07,23739.52,Paid
288,3007,2023-08-27,70248.59,Late
289,441,2023-12-25,16757.98,Paid
290,869,2024-04-02,132485.84,Late
291,12871,2025-05-16,79931.01,Paid
292,14070,2023-09-16,47373.42,Paid
293,5332,2023-08-08,42693.65,Late
294,5396,2022-08-12,16745.49,Paid
295,10501,2025-02-16,23878.04,Paid
296,14314,2023-02-02,61836.15,Paid
297,5378,2026-03-29,101836.28,Late
298,10424,2025-04-27,148721.32,Paid
299,1808,2025-09-21,29855.14,Paid
300,6236,2024-09-11,48000.81,Late
301,113,2023-11-13,31997.22,Paid
302,6583,2025-05-11,141547.34,Late
303,9698,2024-03-04,147971.1,Paid
304,200,2024-08-07,87642.61,Paid
305,7794,2023-03-05,117422.63,Paid
306,3972,2024-03-27,10960.45,Paid
307,13081,2023-12-07,0.0,Missed
308,13300,2025-08-14,73315.01,Paid
309,6112,2024-09-25,16784.53,Paid
310,2760,2023-09-16,64406.12,Paid
311,13822,2025-04-17,10404.81,Paid
312,13535,2025-09-11,50646.85,Paid
313,14610,2025-02-16,11258.22,Late
314,9482,2024-03-18,46996.27,Paid
315,6763,2026-02-12,23336.85,Paid
316,6215,2025-06-14,225055.93,Paid
317,10208,2024-11-20,47737.18,Late
318,5723,2024-09-22,44548.27,Paid
319,3085,2023-02-01,101191.1,Paid
320,3419,2023-10-10,61419.95,Paid
321,8947,2025-06-19,15388.26,Paid
322,2520,2024-06-17,125731.57,Paid
323,4187,2026-06-16,18898.28,Paid
324,5705,2023-04-22,32376.49,Late
325,10473,2023-04-29,39491.1,Paid
326,1408,2024-03-10,57916.13,Paid
327,7537,2024-11-10,37314.81,Paid
328,6080,2023-12-25,15052.17,Paid
329,520,2024-05-12,26431.02,Paid
330,3188,2026-11-20,30155.27,Paid
331,11683,2023-05-21,70966.87,Paid
332,2465,2025-07-02,37457.06,Paid
333,11911,2026-07-25,16202.81,Paid
334,4595,2024-09-22,23574.75,Partial
335,12944,2026-01-04,40182.05,Paid
336,10498,2025-08-13,8637.68,Late
337,9297,2026-11-10,32756.25,Paid
338,14183,2025-02-17,10436.2,Paid
339,311,2022-05-24,16661.87,Paid
340,9690,2023-09-13,155114.72,Paid
341,12381,2024-08-05,8357.9,Paid
342,1246,2024-11-22,191176.26,Late
343,398,2023-05-22,45745.46,Paid
344,2993,2023-09-28,27608.77,Paid
345,9527,2022-10-31,21170.28,Paid
346,3043,2025-05-17,128955.51,Paid
347,6547,2024-06-13,68948.22,Paid
348,2556,2024-03-20,82669.07,Paid
349,7895,2022-04-06,0.0,Missed
350,10212,2024-07-28,33659.58,Paid
351,4682,2025-03-16,19072.22,Paid
352,9132,2026-09-01,14688.19,Paid
353,14906,2024-02-28,14643.88,Paid
354,12964,2023-08-26,105581.34,Paid
